Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,EnvironmentVariables,Toolchain,IsBaseline,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,Mean,Error,StdDev,Gen 0,Allocated
UsingLinq,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"1,394.8 us",18.873 us,17.654 us,253.9063,781.95 KB
ConvertHexStringToByteArray,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"1,434.7 us",7.707 us,7.209 us,179.6875,555.39 KB
StrToByteArray,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"28,517.1 us",564.544 us,713.968 us,9875.0000,30488.28 KB
StringToByteArrayFastest,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,111.4 us,1.081 us,1.011 us,17.9443,55.38 KB
