Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,EnvironmentVariables,Toolchain,IsBaseline,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,Mean,Error,StdDev,Gen 0,Allocated
IsDefined,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,113.2 us,0.4429 us,0.4143 us,7.5684,23.44 KB
IsDefinedWithMethod,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,245.1 us,0.8223 us,0.7289 us,22.4609,70.32 KB
TryParse,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,388.2 us,2.2942 us,2.0337 us,32.7148,101.56 KB
TryParseExtensionMethodWithEnumToObjectWithTypeof,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,245.7 us,0.5044 us,0.4471 us,22.4609,70.32 KB
TryParseExtensionMethodWithEnumToObject,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,257.1 us,1.8473 us,1.7280 us,30.2734,93.76 KB
TryParseExtensionMethodWithEnumParse,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,531.2 us,3.8773 us,3.6268 us,40.0391,125.02 KB
TryParseExtensionMethodWithTryParse,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,383.3 us,3.3295 us,3.1144 us,32.7148,101.56 KB
TryParseExtensionMethodInt,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,236.3 us,0.9977 us,0.9333 us,22.7051,70.32 KB
